DATA, AA, ACAP, AEXP, B, DOCU, ETAT, KLOC, PCAP, PCON, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, CPLX, FLEX, LTEX, PLEX, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.454,3.126,4.749,4.532,4.122,4.876,5.478,80.721,4.363,1.513,2.72,4.099,2.277,4.621,1.79,1.771,2.151,3.0,1.647,3.667,3.877,3.184,2.0,2.157,2.79,2.75,3.343,372.118,22.711,1942.68,2.145
2.208,4.107,4.197,3.354,7.625,3.49,1.908,115.39,4.922,1.677,2.613,2.288,2.516,4.354,1.445,4.052,5.092,3.0,4.483,3.851,1.546,3.442,2.0,3.88,3.364,2.764,3.239,604.793,26.321,5944.988,2.145
2.044,2.492,3.601,4.653,4.892,4.499,3.439,197.819,4.12,4.004,2.331,1.554,1.856,3.828,2.707,1.275,2.59,3.0,4.41,3.747,3.755,3.403,2.0,1.41,1.787,1.249,2.327,539.842,25.752,5103.66,1.072
4.192,2.114,3.061,2.257,3.321,4.284,3.888,62.694,3.365,1.292,2.048,2.922,3.791,2.87,1.653,1.476,3.949,3.0,1.381,3.638,1.276,3.322,2.0,1.443,2.363,2.985,3.592,487.354,25.092,5959.224,2.145
4.85,2.765,3.042,3.702,4.694,4.984,3.469,145.816,3.978,3.393,2.892,2.174,3.032,2.961,2.9,4.118,2.247,3.0,2.073,3.627,4.454,3.44,2.0,1.07,2.964,3.895,3.867,484.859,23.434,1861.305,0.0
2.708,1.52,3.785,3.506,4.844,4.145,5.579,45.463,3.869,2.823,2.627,3.447,1.234,4.018,2.616,4.973,4.412,3.0,3.501,3.077,1.405,3.179,2.0,1.704,4.46,3.928,3.262,119.929,15.871,884.239,0.0
2.926,3.897,3.414,4.948,4.321,1.913,1.791,224.872,4.702,4.583,2.835,3.923,4.434,4.65,1.164,3.143,5.642,3.0,4.19,3.421,3.983,3.43,2.0,3.82,2.83,2.775,2.647,398.141,22.408,4027.24,1.609
3.697,1.483,4.375,3.303,6.873,4.938,2.26,25.486,4.131,3.944,2.863,2.62,2.827,2.246,3.869,4.62,2.755,3.0,5.506,3.813,3.604,3.804,2.0,2.776,4.017,3.341,2.895,54.077,12.074,206.146,0.0
3.44,2.334,3.421,2.199,9.442,3.152,3.482,378.687,3.107,4.758,2.043,4.194,4.038,2.965,1.132,3.647,2.139,3.0,3.723,3.448,1.336,3.49,2.0,3.024,4.376,1.218,1.807,1302.326,32.724,17251.776,1.877
4.782,2.876,3.918,2.408,4.752,1.185,5.533,270.925,4.517,3.873,2.112,2.261,1.606,2.841,3.967,1.847,2.686,3.0,4.324,3.868,2.116,3.541,2.0,3.687,3.979,3.017,2.306,914.916,30.71,9052.152,0.0
4.952,5.026,4.428,3.588,9.796,2.839,2.617,204.883,4.634,3.196,2.927,1.998,3.238,4.147,3.223,1.369,4.505,3.0,3.701,3.215,4.093,3.867,2.0,1.219,3.753,3.614,3.322,344.142,21.428,3452.56,1.072
4.861,4.109,3.14,3.011,5.991,4.373,1.323,293.97,4.804,3.713,2.252,2.603,1.532,2.941,2.512,4.388,2.902,3.0,4.753,3.928,4.445,3.628,2.0,3.29,4.401,2.605,1.655,1076.086,30.164,6540.872,0.536
2.349,1.251,4.962,2.944,6.335,1.276,1.526,98.674,3.174,4.672,2.979,2.632,1.961,4.482,3.733,2.249,3.585,3.0,1.983,3.771,2.648,3.915,2.0,1.515,2.632,3.666,2.412,359.758,22.588,6811.83,0.804
2.763,1.933,4.615,3.4,8.289,4.231,1.328,165.057,4.574,4.72,2.873,1.028,1.178,4.185,2.058,4.257,2.511,3.0,3.931,3.326,4.486,3.269,2.0,2.996,3.194,3.021,3.308,226.1,18.956,3560.613,1.072
4.181,3.405,3.441,2.16,4.221,1.542,1.015,23.431,3.18,4.512,2.575,4.823,1.651,4.29,2.639,1.381,4.628,3.0,4.033,3.853,4.875,3.602,2.0,1.366,3.646,3.984,3.112,77.799,13.93,555.393,0.0
3.611,5.499,4.693,4.6,6.276,1.587,4.244,171.222,3.352,1.956,2.101,5.605,3.438,4.073,2.8,1.528,4.23,3.0,2.987,3.787,2.63,3.926,2.0,3.067,4.287,2.841,3.135,909.228,29.456,3530.488,0.536
3.143,2.477,3.119,3.66,5.131,3.944,4.472,293.183,4.217,4.692,2.432,4.455,3.67,4.798,1.7,1.388,5.038,3.0,4.502,3.085,4.199,3.38,2.0,3.755,3.14,1.134,1.167,1131.025,31.354,7598.107,1.609
4.259,5.239,3.884,2.045,4.607,2.543,1.76,173.787,4.311,1.273,2.091,3.625,4.276,2.905,1.852,4.802,3.181,3.0,5.845,3.306,2.629,3.138,2.0,2.155,1.786,2.745,1.345,551.762,24.475,2634.487,1.609
2.094,2.571,3.184,3.912,4.57,3.815,5.991,46.147,4.767,3.353,2.814,5.254,4.722,3.145,3.201,2.453,4.647,3.0,1.07,3.406,2.439,3.864,2.0,3.832,4.357,1.121,1.103,305.659,20.733,1329.186,0.268
4.787,3.958,3.999,4.725,4.283,3.998,3.611,55.076,4.517,1.954,2.45,3.104,4.523,3.158,2.991,2.456,2.876,3.0,1.028,3.169,4.878,3.239,2.0,1.125,2.512,3.449,2.793,220.743,18.558,734.724,1.072
4.647,5.67,4.711,3.95,7.68,1.598,3.868,298.228,4.368,3.578,2.315,3.828,2.285,3.337,3.172,3.959,3.389,3.0,1.047,3.54,2.202,3.992,2.0,1.198,2.331,3.548,2.354,830.93,29.679,6733.836,1.34
2.417,3.68,3.307,3.811,3.622,2.39,1.477,142.363,3.413,3.7,2.845,1.981,1.743,3.457,2.565,1.23,5.399,3.0,3.73,3.939,4.014,3.622,2.0,2.126,4.593,1.766,1.537,784.141,28.803,8961.252,0.268
3.912,3.975,3.649,4.647,6.934,3.186,4.553,242.13,3.196,1.308,2.646,3.083,4.261,3.504,2.951,3.694,4.772,3.0,5.312,3.427,2.842,3.481,2.0,3.619,4.437,1.585,2.558,792.891,27.013,4620.488,0.268
2.95,5.946,3.154,4.981,4.838,1.256,4.126,344.816,3.511,2.209,2.021,2.189,1.243,4.815,2.211,4.975,4.381,3.0,4.699,3.905,2.149,3.495,2.0,2.225,4.076,3.027,1.283,1315.262,32.306,11715.903,0.0
4.585,5.412,4.955,2.084,8.492,2.949,5.877,288.617,3.907,2.901,2.023,5.129,1.377,2.4,1.395,4.312,4.429,3.0,4.65,3.18,1.691,3.947,2.0,3.876,1.801,2.607,3.236,740.353,28.694,4492.059,2.145
3.364,3.946,3.298,3.21,5.906,4.528,3.59,14.616,3.75,1.058,2.462,5.193,3.754,2.234,3.415,3.395,5.822,3.0,3.78,3.143,3.256,3.416,2.0,1.072,3.18,2.646,1.408,84.772,14.122,198.024,0.0
2.496,4.428,3.303,2.74,5.298,4.443,2.755,52.467,4.418,4.516,2.023,2.901,2.627,3.361,2.362,4.326,5.005,3.0,2.849,3.994,1.809,3.358,2.0,2.995,4.046,1.907,1.674,253.162,19.955,2561.578,1.34
3.03,5.118,3.213,2.306,4.014,1.849,1.16,207.476,4.556,1.018,2.209,5.066,1.147,3.578,2.146,1.243,5.295,3.0,5.307,3.847,1.379,3.747,2.0,1.099,1.25,3.006,3.707,971.321,32.901,7448.587,1.609
3.349,2.94,4.889,4.26,3.188,4.648,4.427,92.431,4.767,1.646,2.908,1.601,4.646,2.155,2.744,1.879,2.247,3.0,5.072,3.056,2.711,3.717,2.0,1.743,1.597,2.239,1.401,166.386,17.481,1101.821,2.145
3.675,2.932,4.048,2.798,7.18,3.478,4.203,358.856,4.864,3.603,2.055,3.863,1.139,3.655,3.086,4.953,5.827,3.0,2.476,3.88,3.572,3.908,2.0,3.607,3.577,3.049,1.14,2445.22,40.225,14047.535,0.0
3.268,3.785,3.781,2.504,5.866,3.603,2.268,63.749,3.408,3.933,2.787,1.937,2.277,3.443,2.962,3.816,2.893,3.0,1.24,3.31,2.431,3.349,2.0,1.895,2.747,2.821,3.318,379.737,22.605,3344.022,0.268
2.258,2.13,4.111,4.646,8.429,4.373,1.129,159.405,3.755,1.296,2.156,4.114,3.713,4.204,2.581,2.274,3.953,3.0,2.353,3.013,3.435,3.912,2.0,2.963,4.105,1.389,1.554,756.606,27.49,9084.869,0.804
2.422,4.378,4.497,3.95,9.688,2.514,1.237,109.008,3.578,4.534,2.393,2.769,4.321,3.503,3.352,3.056,4.422,3.0,3.683,3.482,3.607,3.789,2.0,1.453,4.84,2.164,1.728,280.609,19.701,2211.766,0.536
3.635,2.688,3.083,3.218,4.971,1.28,1.877,64.32,4.352,3.147,2.818,1.288,2.28,4.183,1.719,2.753,4.736,3.0,4.752,3.269,3.08,3.036,2.0,2.868,4.25,1.501,1.971,193.84,18.241,5011.377,1.609
4.242,4.768,3.376,3.697,7.749,1.487,4.05,387.048,4.597,3.461,2.224,3.02,2.392,2.795,1.21,2.021,3.926,3.0,5.898,3.155,1.224,3.196,2.0,2.292,2.318,3.624,2.008,494.671,25.809,6526.514,1.609
4.903,4.254,4.925,2.602,3.366,4.816,5.152,232.199,4.947,3.79,2.951,1.582,2.786,2.704,2.25,3.008,3.229,3.0,3.75,3.679,1.116,3.799,2.0,2.556,2.736,3.611,3.499,511.81,24.991,4146.036,1.609
4.652,1.441,4.355,3.6,9.403,2.155,3.016,226.71,3.96,3.68,2.959,5.4,1.085,3.755,2.206,2.749,4.372,3.0,3.569,3.995,4.391,3.881,2.0,2.326,2.511,3.187,3.604,611.725,25.836,4714.093,0.536
4.946,5.538,3.133,2.626,7.391,4.439,3.965,118.428,3.942,3.52,2.44,4.209,2.691,2.592,3.438,4.966,2.093,3.0,4.035,3.244,4.721,3.271,2.0,2.001,1.129,3.784,3.328,396.557,22.375,522.412,0.0
4.266,5.771,4.672,4.114,7.717,1.755,5.392,179.575,4.78,1.269,2.703,3.529,3.253,2.669,2.673,3.733,3.389,3.0,1.812,3.726,3.04,3.337,2.0,3.731,2.839,1.962,3.373,521.978,24.371,4835.173,1.072
4.157,2.089,3.705,4.12,5.115,2.853,3.789,42.229,3.782,2.739,2.741,5.926,1.538,2.351,2.69,1.499,4.497,3.0,2.325,3.168,1.84,3.049,2.0,2.612,1.24,1.901,1.696,267.016,21.429,1418.91,0.536
4.168,3.623,3.341,3.205,4.905,1.148,2.547,374.475,3.607,2.248,2.915,2.067,4.526,4.43,2.546,2.63,4.394,3.0,4.64,3.822,4.653,3.085,2.0,2.329,1.734,3.197,1.524,1191.22,31.289,10638.213,0.0
2.063,5.746,3.532,2.454,5.005,4.757,1.936,165.921,4.79,1.272,2.336,4.625,4.861,2.906,3.972,1.401,3.375,3.0,5.458,3.231,2.216,3.981,2.0,2.095,1.011,1.41,2.074,785.701,29.417,1827.129,0.0
4.644,3.043,4.391,2.072,3.613,2.266,4.354,339.219,4.387,2.248,2.204,3.567,1.081,3.131,2.694,3.348,5.608,3.0,5.799,3.089,3.688,3.622,2.0,1.564,4.948,1.146,2.901,1213.728,31.689,6918.296,2.145
2.358,1.003,3.562,4.013,6.097,3.594,3.717,232.411,3.996,3.252,2.591,4.491,1.411,2.911,2.773,4.179,5.362,3.0,4.167,3.876,4.839,3.425,2.0,3.915,3.312,2.65,1.383,890.567,28.782,4306.433,0.0
4.317,2.1,3.76,3.419,6.172,4.682,4.903,194.746,3.798,1.608,2.853,3.831,4.647,4.449,2.953,1.282,5.968,3.0,3.914,3.323,3.676,3.777,2.0,3.231,3.577,1.927,3.45,1876.352,36.088,6001.818,0.268
2.162,2.045,3.885,4.034,4.992,2.428,4.306,27.201,3.32,3.369,2.499,2.027,3.125,3.218,2.405,4.106,5.024,3.0,3.301,3.842,3.563,3.543,2.0,1.856,3.167,3.518,3.403,83.213,13.91,645.749,0.0
4.98,5.962,4.694,4.196,7.97,1.639,3.6,256.804,3.999,3.879,2.106,3.796,2.264,3.379,1.161,1.469,4.598,3.0,5.2,3.426,4.234,3.313,2.0,3.03,1.048,2.706,2.308,679.248,27.823,3595.5,1.609
4.859,4.651,3.198,2.035,5.571,3.061,5.664,387.316,3.529,2.174,2.361,1.971,1.675,2.687,3.102,2.407,4.938,3.0,1.779,3.817,3.702,3.27,2.0,1.311,3.206,2.698,1.879,3403.785,44.989,20118.163,0.0
4.188,5.712,3.058,3.805,5.22,3.098,1.953,273.171,4.253,4.416,2.122,2.025,1.328,2.261,3.329,4.684,2.808,3.0,2.554,3.934,1.511,3.306,2.0,1.851,1.954,3.484,2.205,816.253,29.184,8636.481,0.804
3.669,5.544,4.341,2.549,3.728,1.145,1.899,123.493,3.484,1.271,2.322,4.035,2.974,2.265,3.875,4.62,5.498,3.0,5.395,3.859,3.993,3.35,2.0,3.355,3.955,1.366,2.785,459.495,23.048,1925.227,0.268
2.647,2.227,4.562,3.092,8.376,1.652,5.612,127.233,3.053,1.513,2.7,3.844,3.453,2.16,3.006,1.143,2.654,3.0,4.027,3.297,1.542,4.0,2.0,1.681,3.159,3.739,2.753,405.909,23.294,2352.954,0.536
2.601,2.474,3.443,2.144,5.397,1.847,4.318,382.824,3.789,4.481,2.672,3.117,2.336,4.183,1.112,3.479,4.525,3.0,1.696,3.534,4.599,3.897,2.0,2.755,4.992,3.463,2.661,1439.632,32.342,15805.07,1.072
4.107,2.396,4.882,2.889,9.875,1.565,1.485,333.737,3.832,2.853,2.756,3.689,2.728,3.324,2.787,3.773,2.934,3.0,5.048,3.8,3.881,3.571,2.0,1.832,4.233,2.706,3.622,389.016,21.871,5931.281,1.072
3.016,3.184,3.009,4.403,9.512,3.509,5.503,38.106,3.071,3.652,2.774,5.174,3.621,2.284,1.078,1.749,3.929,3.0,4.75,3.611,1.13,3.653,2.0,2.126,2.874,2.905,2.854,122.061,16.328,440.861,1.072
2.149,5.946,3.403,2.056,5.327,2.504,2.673,118.835,3.406,4.722,2.665,5.568,4.3,4.192,2.667,2.727,4.676,3.0,3.48,3.94,4.785,3.829,2.0,2.989,4.974,3.205,3.714,422.456,22.004,1088.931,0.0
3.923,2.462,4.042,3.265,8.234,4.61,2.297,64.335,4.76,1.386,2.241,1.391,1.05,3.431,3.7,3.663,4.39,3.0,1.099,3.451,4.162,3.043,2.0,1.266,4.222,1.552,1.528,664.211,26.463,4983.81,1.072
3.19,3.055,4.778,3.609,4.553,3.501,2.35,294.709,3.869,1.177,2.899,1.566,1.168,2.011,2.907,3.503,4.911,3.0,5.653,3.317,4.235,3.524,2.0,2.309,4.054,1.648,2.757,939.732,29.311,5253.357,0.804
4.697,3.489,4.343,2.547,8.802,3.765,4.576,93.384,3.077,3.084,2.763,3.181,1.529,3.9,3.481,1.923,3.82,3.0,3.244,3.105,3.19,3.255,2.0,3.95,1.458,3.445,3.074,530.623,25.258,2957.286,0.0
4.001,5.269,3.372,3.22,5.345,1.921,4.575,96.142,4.857,3.344,2.411,3.686,4.48,2.505,2.438,1.988,2.601,3.0,4.077,3.835,4.921,3.673,2.0,2.472,2.535,3.343,1.465,243.661,19.315,874.844,0.536
2.079,5.81,3.855,4.088,4.246,2.781,3.637,147.362,3.34,4.552,2.176,2.97,3.133,3.779,1.927,4.417,4.148,3.0,3.288,3.208,2.278,3.59,2.0,3.694,1.898,3.431,1.516,390.816,22.917,3279.847,1.072
2.714,5.029,4.261,2.015,9.721,1.73,4.825,57.283,3.545,4.623,2.228,2.804,1.816,2.183,2.381,4.953,5.847,3.0,2.858,3.159,1.471,3.45,2.0,2.516,1.174,2.531,1.869,218.626,19.462,1974.292,1.34
3.007,4.975,3.294,3.951,7.888,2.87,2.022,290.21,3.813,2.591,2.495,1.424,2.865,2.467,1.118,4.301,4.383,3.0,1.929,3.483,1.653,3.657,2.0,1.682,1.081,2.648,1.398,774.8,28.326,22452.211,1.609
3.558,3.85,4.254,2.052,4.854,2.515,5.288,21.351,3.59,1.768,2.322,4.382,2.366,2.722,1.951,3.694,5.821,3.0,2.579,3.378,1.065,3.941,2.0,2.151,3.693,2.132,3.076,139.322,16.678,1131.918,2.413
2.898,5.928,3.553,2.832,3.248,1.939,2.074,287.41,4.228,1.481,2.165,3.369,2.191,2.99,1.192,2.858,3.962,3.0,4.788,3.288,1.072,3.463,2.0,3.759,2.198,3.206,1.879,857.041,29.551,13888.187,2.145
2.672,4.23,4.164,2.288,8.696,3.436,5.732,50.523,3.819,3.522,2.556,3.808,2.546,3.448,1.474,3.113,4.127,3.0,1.855,3.624,2.039,3.737,2.0,2.552,4.019,1.998,3.85,284.104,21.039,1855.157,2.145
4.708,2.818,3.019,2.447,4.39,3.508,2.829,300.754,4.935,3.788,2.904,2.513,4.98,4.794,2.924,4.967,2.195,3.0,3.73,3.804,2.084,3.645,2.0,2.471,1.12,2.27,2.42,1179.172,31.094,9445.389,0.536
4.373,3.868,4.33,2.689,3.732,3.255,4.424,256.385,3.093,4.386,2.264,5.305,2.276,3.715,3.424,1.089,4.338,3.0,5.047,3.802,4.967,3.466,2.0,1.649,3.721,3.148,3.384,948.185,29.681,1684.238,0.536
4.952,2.513,3.094,4.165,6.216,3.3,1.645,118.386,3.124,2.442,2.798,2.437,4.436,3.964,1.786,3.622,2.007,3.0,3.06,3.984,2.291,3.068,2.0,3.93,4.211,1.585,1.756,900.357,28.3,9682.768,1.34
2.021,5.989,4.928,3.892,3.328,3.417,2.484,325.01,4.265,2.834,2.318,4.714,4.274,2.558,1.047,2.949,5.337,3.0,4.562,3.396,2.19,3.714,2.0,3.703,3.193,1.768,1.329,937.937,29.552,5716.264,2.145
2.478,1.111,4.703,3.341,3.298,2.06,5.97,357.56,4.129,2.578,2.757,5.159,2.263,2.239,3.282,4.471,3.751,3.0,5.271,3.317,4.449,3.128,2.0,1.765,3.982,2.739,3.555,460.099,22.975,1345.241,1.072
4.69,5.113,4.615,4.441,4.954,3.513,2.461,321.468,4.059,2.076,2.447,5.272,1.034,3.89,1.517,2.331,3.541,3.0,1.406,3.744,2.252,3.051,2.0,1.7,1.986,2.5,2.553,1458.027,35.814,12325.654,3.485
4.358,3.727,3.465,2.336,4.658,2.324,4.918,94.487,4.159,3.28,2.658,1.599,1.484,3.266,1.091,1.059,4.741,3.0,3.363,3.06,1.631,3.983,2.0,2.894,2.636,3.147,3.843,609.153,27.56,6766.173,2.145
2.803,3.081,4.62,3.452,5.323,3.569,3.843,12.909,4.417,1.42,2.521,2.776,4.185,3.6,1.138,3.426,5.788,3.0,4.662,3.609,4.413,3.915,2.0,3.298,1.276,2.756,2.435,55.968,12.417,305.486,2.145
4.541,4.796,4.04,2.828,5.615,3.484,5.187,163.015,3.485,2.893,2.835,2.366,4.099,3.873,3.376,2.504,5.11,3.0,3.58,3.718,2.125,3.086,2.0,3.767,3.004,1.736,1.819,1377.498,33.505,6837.403,0.268
3.817,5.587,4.505,4.778,8.803,4.945,3.456,102.143,3.998,4.863,2.708,1.677,4.454,3.446,3.263,2.907,4.806,3.0,2.347,3.128,4.238,3.891,2.0,2.442,3.355,2.94,2.981,284.799,19.953,990.507,0.0
3.933,1.757,4.568,4.317,9.094,2.41,5.352,353.674,4.617,4.342,2.914,4.567,2.286,2.231,1.143,4.376,3.843,3.0,1.921,3.29,2.799,3.884,2.0,1.079,2.066,3.363,2.779,432.143,23.457,4475.946,3.485
4.798,5.819,3.209,3.008,9.093,3.605,1.303,85.656,4.364,4.168,2.757,5.814,2.754,4.249,3.762,2.988,3.285,3.0,4.361,3.349,3.227,3.896,2.0,2.464,2.438,3.983,1.891,280.052,20.444,801.856,0.0
2.017,4.982,3.096,3.708,9.022,1.098,1.069,377.307,3.675,1.073,2.604,3.686,1.013,3.64,3.552,4.824,5.734,3.0,1.888,3.434,3.282,3.548,2.0,1.062,3.426,2.513,3.727,1020.633,30.782,17363.08,0.0
3.087,1.805,3.107,4.375,4.932,1.332,3.737,238.457,3.915,3.647,2.75,4.85,1.561,2.141,1.402,1.504,3.82,3.0,1.543,3.7,4.286,3.696,2.0,3.191,4.544,2.531,2.285,577.885,25.483,8620.501,1.072
3.65,4.483,3.905,3.804,5.248,4.773,5.962,260.376,4.694,1.978,2.891,4.854,2.234,2.892,3.774,4.457,4.1,3.0,1.86,3.094,4.778,3.178,2.0,2.972,2.598,3.305,2.252,1580.31,34.093,2040.826,0.0
3.469,4.273,3.328,2.5,3.961,2.107,1.012,127.629,4.315,1.107,2.899,4.234,2.789,2.873,2.901,4.107,2.932,3.0,5.587,3.072,1.406,3.051,2.0,1.503,1.741,3.895,3.463,278.551,20.808,1690.243,1.609
2.371,5.776,3.757,2.944,8.104,1.657,1.958,87.572,4.271,2.395,2.892,3.917,3.566,4.012,1.817,4.579,5.499,3.0,1.605,3.871,2.897,3.012,2.0,2.573,1.871,3.603,2.628,316.011,21.306,2863.65,1.877
2.365,3.804,3.46,3.149,7.835,1.997,3.911,224.022,4.187,4.315,2.631,3.54,4.737,2.418,2.022,2.434,5.379,3.0,1.698,3.859,1.975,3.061,2.0,1.556,2.167,2.116,2.042,562.339,25.974,7817.431,1.609
4.762,2.427,4.071,3.253,9.08,1.711,4.306,309.217,3.551,3.615,2.767,1.85,3.814,3.96,2.873,2.829,2.564,3.0,4.11,3.121,2.095,3.97,2.0,3.03,1.261,1.54,1.17,1256.756,33.253,17084.807,0.804
2.902,1.049,4.371,3.755,7.192,3.447,3.732,125.643,4.921,1.877,2.363,5.056,4.953,2.625,3.988,3.07,3.944,3.0,3.635,3.316,1.001,3.171,2.0,2.545,4.144,3.486,2.703,310.789,20.509,1622.137,0.0
4.439,5.691,3.58,2.7,9.441,4.508,4.26,140.783,4.101,4.164,2.621,1.771,4.278,2.786,2.796,3.206,2.719,3.0,3.241,3.954,2.942,3.612,2.0,2.927,3.27,3.687,3.067,492.739,24.127,1971.53,0.536
3.219,1.758,4.05,4.723,9.262,2.457,1.864,348.791,4.837,1.86,2.798,1.839,3.231,3.318,3.59,2.672,4.536,3.0,2.041,3.478,3.799,3.56,2.0,3.472,3.3,2.589,3.749,939.645,29.459,15050.4,0.0
2.295,5.948,3.084,3.148,6.501,2.487,5.555,159.627,3.488,4.26,2.397,1.604,1.908,3.115,3.032,3.657,5.677,3.0,4.812,3.728,1.8,3.044,2.0,1.134,4.666,2.415,3.536,449.327,23.549,2346.615,0.0
3.345,4.829,4.215,3.868,9.118,1.078,4.761,138.306,4.968,2.293,2.236,2.175,2.632,4.94,3.608,2.671,4.03,3.0,5.657,3.201,4.022,3.962,2.0,3.575,2.397,2.369,2.122,550.106,25.325,2356.814,0.0
3.865,5.428,4.092,4.52,4.631,4.528,2.922,129.459,3.083,4.296,2.521,4.432,4.219,2.082,3.084,1.715,3.156,3.0,3.851,3.86,3.945,3.642,2.0,1.802,4.391,2.045,2.899,332.076,21.233,905.048,0.536
2.426,1.094,3.163,3.705,9.76,4.915,3.782,17.466,4.005,1.03,2.329,4.239,2.392,2.089,2.641,3.733,4.997,3.0,5.837,3.004,1.977,3.413,2.0,1.872,2.293,3.036,1.39,105.744,15.523,232.795,1.072
4.044,3.773,4.374,2.487,5.152,4.716,4.135,231.724,3.554,4.253,2.574,2.821,2.654,2.445,3.952,4.027,5.658,3.0,3.264,3.719,1.56,3.716,2.0,3.138,3.047,2.74,1.746,2443.083,41.268,6804.637,0.536
2.789,1.563,3.025,2.776,9.491,2.028,4.594,154.475,4.318,2.487,2.185,3.484,4.419,3.258,3.68,4.432,4.784,3.0,4.883,3.476,1.024,3.553,2.0,3.334,3.136,3.392,1.435,579.076,25.223,4143.802,0.536
3.798,2.478,4.37,2.383,6.596,3.698,4.212,216.005,3.114,1.559,2.57,2.654,1.318,4.096,1.818,3.689,5.665,3.0,5.906,3.541,2.437,3.557,2.0,1.661,4.082,1.035,1.924,697.787,27.334,9135.68,2.413
3.181,4.475,4.839,3.487,9.565,2.117,2.749,154.058,4.358,4.636,2.341,4.498,3.28,3.425,3.174,2.405,2.699,3.0,2.015,3.693,2.266,3.042,2.0,1.269,2.011,1.78,1.477,470.662,24.31,3652.39,1.072
3.087,3.891,4.942,4.211,6.258,3.719,2.941,16.037,4.071,1.687,2.146,5.202,1.764,4.347,2.233,2.778,4.54,3.0,2.258,3.448,3.997,3.367,2.0,1.524,2.611,1.034,1.698,94.877,14.837,553.311,2.145
2.1,1.532,3.748,3.183,8.149,1.296,4.857,67.441,4.564,1.273,2.59,2.49,1.328,4.973,3.076,3.234,2.007,3.0,5.039,3.473,2.927,3.845,2.0,3.161,2.719,2.34,2.215,225.138,19.562,2875.234,0.0
4.65,5.677,4.029,2.042,3.134,3.035,1.686,368.726,4.681,3.512,2.055,4.553,4.108,3.534,1.403,2.813,3.823,3.0,3.695,3.42,2.196,3.754,2.0,1.478,2.116,1.389,3.864,1001.722,30.562,9862.518,3.217
4.243,1.125,3.389,4.851,3.438,3.976,1.749,145.08,4.978,1.554,2.427,2.885,4.501,4.611,1.707,3.491,5.044,3.0,1.7,3.338,1.185,3.753,2.0,1.951,4.556,3.915,1.375,583.307,25.023,10212.013,2.681
3.504,5.832,3.367,3.004,9.947,3.62,5.235,339.017,3.917,4.044,2.23,5.554,2.645,4.909,1.011,2.522,3.529,3.0,2.361,3.377,4.232,3.261,2.0,3.936,3.772,3.128,2.103,1432.933,33.565,6095.233,1.072
4.381,3.681,4.731,3.102,9.072,2.099,1.062,138.852,3.019,4.271,2.543,1.818,3.132,4.402,1.857,2.499,5.185,3.0,1.615,3.468,4.925,3.211,2.0,2.865,4.627,1.014,2.91,880.398,28.027,9807.033,1.877
2.287,5.568,4.776,4.665,4.288,4.32,2.905,215.858,4.741,3.232,2.972,1.021,1.27,4.446,2.489,4.433,5.448,3.0,4.854,3.404,4.361,3.386,2.0,3.236,1.056,3.537,3.481,519.094,24.303,2054.958,1.072
3.039,2.568,3.052,3.089,6.878,1.107,2.961,23.294,3.341,2.623,2.948,2.783,4.335,4.004,3.147,2.8,3.526,3.0,3.334,3.602,2.853,3.975,2.0,3.674,3.049,3.706,2.486,156.299,16.914,1122.957,0.0
4.334,1.074,4.3,4.2,4.728,1.233,3.639,38.838,3.061,4.275,2.256,3.311,4.631,4.51,2.763,3.55,5.666,3.0,5.141,3.499,4.683,3.517,2.0,1.782,1.378,1.542,1.864,184.572,17.677,681.942,1.34
4.385,5.637,4.652,2.689,9.662,3.942,4.464,89.127,4.706,3.032,2.348,2.692,4.524,4.021,2.341,3.155,5.118,3.0,2.912,3.817,1.56,3.008,2.0,3.308,2.559,2.252,3.278,568.262,25.507,3014.046,1.877
3.443,5.133,4.608,3.019,3.723,2.748,5.228,271.195,3.676,2.247,2.078,1.891,2.03,2.6,1.691,2.679,2.016,3.0,1.043,3.082,1.938,3.315,2.0,1.004,3.72,3.893,1.801,1189.438,32.722,10180.777,2.681
3.246,3.187,4.127,3.738,4.324,4.552,3.442,80.209,4.453,1.009,2.371,2.022,3.195,2.931,1.856,4.99,5.006,3.0,5.218,3.556,1.558,3.726,2.0,1.596,1.524,1.636,2.598,386.171,23.025,2275.836,3.217
2.153,4.249,3.583,4.222,7.443,3.325,2.932,64.319,4.374,4.855,2.875,5.403,4.423,4.708,1.412,4.078,4.321,3.0,5.478,3.625,2.236,3.504,2.0,3.232,1.713,1.188,2.856,140.338,16.518,654.073,1.609
3.79,2.233,3.163,3.256,5.573,1.6,1.864,186.102,3.381,3.134,2.462,5.814,2.639,3.567,2.479,4.573,5.137,3.0,1.735,3.565,1.436,3.524,2.0,2.04,2.081,3.948,3.431,697.092,27.682,6311.842,0.536
2.105,1.251,4.372,3.215,7.246,1.96,3.072,12.456,4.946,4.757,2.884,2.234,3.92,3.585,2.67,3.815,3.344,3.0,2.679,3.246,3.338,3.738,2.0,3.696,4.117,1.961,2.067,41.321,11.206,435.957,1.072
