 AA, CPLX, DOCU, FLEX, KLOC, PR, RUSE, EFFORT-, MONTHS-, DEFECTS-, RISKS-
5.292,1.972,1.668,2.467,201.979,5.056,3.915,717.848,27.258,2124.705,0.804
1.492,3.368,2.515,3.818,289.773,4.247,2.322,1275.126,32.742,16452.329,1.072
3.896,3.956,1.964,2.716,145.511,1.338,4.493,1603.157,33.534,5110.767,0.0
2.124,2.818,1.895,3.738,144.893,4.167,3.408,355.898,22.418,2889.92,1.072
2.862,2.811,2.612,3.152,133.593,1.815,2.541,748.575,28.138,11535.322,1.072
2.074,3.053,1.247,4.831,292.578,3.629,3.908,462.587,23.241,6086.713,1.609
2.917,3.694,2.633,4.036,29.94,2.652,4.423,227.357,18.981,1956.244,0.804
3.441,1.813,1.951,3.902,258.68,3.845,2.033,648.907,26.175,10014.298,1.072
3.19,2.529,2.327,1.784,147.008,3.534,5.511,565.964,25.707,5514.54,0.804
3.313,1.358,2.4,1.618,15.975,1.742,5.261,42.073,11.498,204.752,3.217
5.266,1.057,3.674,3.496,116.069,1.621,4.028,250.952,19.339,1585.431,2.145
4.337,3.111,3.684,3.328,287.483,3.688,5.651,881.55,28.976,3714.81,1.877
3.644,1.178,1.95,1.488,32.435,5.17,2.038,138.125,16.754,713.613,0.536
3.388,3.587,4.236,3.196,48.899,1.887,3.313,148.977,16.767,683.855,0.0
3.66,2.597,3.349,4.948,224.137,4.397,5.867,1021.497,30.343,5125.516,0.536
4.661,3.653,4.797,4.133,19.323,1.324,5.958,144.957,16.361,391.804,1.609
2.197,1.005,2.064,3.141,73.385,5.844,3.629,252.241,20.026,690.596,0.536
3.154,3.202,1.813,1.592,199.152,1.367,5.162,1155.822,32.171,4816.377,0.0
3.132,3.716,3.58,2.959,369.385,1.161,5.167,1987.867,36.345,17558.055,0.0
1.13,2.067,1.719,1.779,53.236,1.603,3.741,58.037,12.818,1304.833,1.609
4.764,3.798,3.02,1.29,265.408,5.284,5.774,1610.27,34.08,2530.699,0.0
4.918,2.276,1.598,2.686,151.15,5.5,2.035,273.218,20.716,1970.651,1.072
1.218,3.497,2.205,1.045,24.569,1.248,4.473,154.015,16.736,1235.687,0.536
5.649,1.745,2.268,4.478,83.289,3.309,2.234,186.47,18.076,2141.918,2.413
3.362,3.012,1.832,2.307,355.678,2.585,2.459,680.481,26.919,1770.132,0.0
2.487,3.436,4.328,2.177,223.967,4.531,2.997,562.193,25.61,2138.892,1.072
1.035,1.45,4.764,3.224,233.185,5.671,5.637,1261.856,31.556,2059.38,2.145
3.75,3.173,2.124,1.109,361.174,3.014,4.616,1037.76,29.982,2632.737,0.536
5.823,2.892,4.159,4.258,97.166,5.085,2.712,662.741,27.79,1506.975,0.268
1.446,3.966,4.639,1.864,77.87,5.461,3.2,345.283,21.631,298.348,0.0
3.572,2.821,2.922,3.962,293.709,1.064,5.879,763.836,27.374,2380.944,0.0
3.69,1.884,2.81,1.499,60.593,2.72,2.121,489.256,23.831,1773.325,1.877
5.225,3.148,3.609,2.35,266.88,3.401,2.783,685.169,27.613,2303.022,0.268
2.897,2.371,4.506,2.951,29.484,4.199,4.525,336.502,22.82,2359.49,0.804
4.754,3.81,2.108,1.414,61.469,1.444,3.976,318.413,21.603,1932.125,0.0
5.467,3.802,4.864,3.584,227.644,5.231,2.466,637.284,25.888,559.293,0.536
4.27,3.29,2.248,1.766,54.417,1.096,4.401,336.491,21.178,1276.908,1.072
2.31,3.108,4.94,2.684,17.599,5.89,4.328,116.79,15.844,146.609,0.0
5.557,2.643,3.977,2.788,317.434,2.365,2.95,882.263,28.556,3346.607,1.877
5.909,1.346,3.085,4.684,141.359,2.504,4.984,248.995,19.35,443.411,1.072
2.012,2.355,3.898,1.675,339.185,3.541,5.227,2239.691,37.843,7346.742,0.0
4.797,3.519,1.702,4.217,266.284,4.142,4.043,310.616,20.412,1904.503,1.609
5.011,3.409,4.479,1.853,95.009,2.581,4.795,620.97,27.429,1400.081,2.145
5.506,3.709,4.742,1.307,148.204,1.949,4.459,1247.034,32.19,2901.787,2.145
2.844,1.396,3.819,4.741,208.834,1.365,4.443,878.711,29.661,11459.178,1.072
3.17,2.849,2.274,1.591,209.671,1.406,3.698,587.09,26.583,9575.171,0.0
1.088,1.621,1.224,2.52,83.058,2.502,5.591,321.607,21.756,6421.718,2.413
3.147,3.654,3.414,1.854,98.902,1.086,2.137,185.363,17.824,642.412,1.072
3.155,3.497,4.721,1.039,154.791,5.998,4.435,1019.899,30.44,3128.044,1.34
1.208,1.05,3.346,3.535,203.433,4.063,2.483,753.711,28.072,10544.751,1.877
4.855,1.762,3.731,2.747,386.367,4.466,4.528,1609.824,35.379,5160.786,2.949
5.68,1.498,2.012,4.758,376.269,4.998,2.709,737.409,26.453,3601.619,1.072
4.645,3.658,1.91,3.632,26.065,4.824,5.718,54.165,12.279,142.764,2.145
5.864,3.423,3.009,3.499,19.921,4.348,2.646,143.031,17.095,363.145,0.0
2.344,1.305,4.603,2.002,348.442,4.107,5.411,1052.314,31.64,3138.067,2.145
5.822,3.582,1.48,3.185,156.39,3.095,2.385,785.7,27.402,4148.27,1.072
5.981,2.794,3.114,4.345,85.641,4.446,5.011,653.921,26.656,1320.701,0.268
4.659,2.304,2.322,4.168,190.372,3.264,5.397,1025.725,30.938,6059.912,0.536
4.613,1.878,2.713,2.64,381.44,2.834,2.716,1389.677,33.529,5267.5,0.536
2.736,3.591,4.197,2.528,322.936,3.909,2.34,1413.329,32.894,2418.164,0.268
5.171,2.109,3.696,4.253,363.68,3.843,3.805,1832.582,36.052,5369.36,0.804
5.49,2.028,2.535,3.818,182.153,5.873,2.968,669.002,26.618,2303.375,1.34
4.25,2.517,2.099,3.637,380.29,5.732,4.945,2725.184,39.487,10359.12,0.268
2.218,3.993,4.493,2.896,59.893,3.661,4.497,163.209,17.712,821.882,0.0
1.794,1.262,3.907,2.233,133.503,1.188,2.727,964.102,31.06,9521.713,2.413
3.663,2.925,2.882,2.1,39.768,1.932,4.061,131.641,16.837,2569.437,0.536
3.279,2.899,3.539,1.281,384.082,1.928,4.646,3269.206,46.088,36381.091,0.536
3.218,2.583,2.21,3.422,12.217,4.118,5.591,53.97,12.296,198.559,0.0
1.802,1.973,3.848,1.264,295.886,4.138,3.475,833.562,28.513,4189.218,2.145
4.955,1.758,4.775,1.21,259.244,4.31,2.969,728.762,28.019,3284.183,1.072
3.976,1.961,3.895,1.696,186.332,2.212,5.059,1272.356,32.865,3368.686,1.609
3.495,1.543,4.666,3.414,278.397,1.133,2.503,988.048,29.499,3859.281,1.34
1.071,3.048,3.515,2.12,228.062,4.453,5.049,1023.616,29.508,2394.12,0.536
5.485,1.073,2.64,2.116,15.43,4.064,2.302,25.961,9.844,44.324,1.609
2.262,1.335,3.606,2.831,105.514,1.809,4.004,423.239,22.812,2141.34,0.268
4.16,1.441,1.787,1.685,186.386,5.337,2.015,762.374,29.161,5126.677,1.072
2.578,1.569,3.09,4.855,126.709,4.127,4.384,171.022,17.396,875.175,0.536
5.007,3.533,4.06,2.025,75.39,5.694,4.887,325.159,21.667,711.204,1.609
2.963,1.051,1.935,3.174,232.024,1.221,3.202,711.062,27.576,8564.932,0.268
3.179,3.072,3.763,2.598,346.593,4.511,2.017,708.83,27.681,1418.474,0.0
4.832,3.5,4.344,1.551,53.674,2.349,5.66,281.187,20.535,886.398,1.609
2.658,3.415,4.218,4.183,200.176,2.094,3.73,816.243,27.787,4916.901,0.0
5.32,3.716,2.113,2.694,245.147,5.46,3.498,621.784,26.719,1758.475,0.0
4.398,3.753,2.123,2.324,109.575,5.781,3.044,357.486,22.169,1052.972,0.0
3.98,1.078,4.991,2.409,67.427,3.687,3.1,438.817,23.911,672.453,0.804
5.44,3.453,4.825,2.837,87.224,1.352,5.707,521.759,24.124,694.588,0.536
5.827,1.944,2.15,2.991,216.211,2.877,4.473,617.649,26.674,3883.625,2.413
2.517,1.832,2.269,2.704,195.786,4.429,2.802,480.923,24.882,6284.514,1.072
1.145,2.998,4.431,1.723,376.73,1.7,4.066,1915.963,39.758,27676.059,1.34
4.927,2.79,3.076,4.75,175.2,1.761,4.209,303.608,20.471,819.423,1.072
4.189,2.703,1.525,4.516,241.127,3.725,2.363,473.761,24.212,5386.958,1.072
2.498,2.034,2.002,3.099,236.907,5.231,4.589,204.669,19.087,3684.58,2.145
5.223,1.094,4.502,1.216,359.454,3.54,3.556,906.131,28.684,1652.118,1.072
4.726,3.124,1.899,3.346,377.79,2.051,4.157,1941.783,36.571,44768.784,1.609
4.206,2.499,2.184,1.738,143.468,5.346,5.627,516.44,24.723,1079.004,0.804
1.135,1.433,2.507,4.428,343.457,5.959,5.308,403.983,22.3,2573.69,2.145
5.564,1.239,2.708,2.678,61.211,1.428,3.181,145.101,17.439,398.136,2.681
2.966,3.063,2.718,1.009,360.771,2.376,5.806,1186.016,30.547,3765.101,0.0
5.826,2.797,2.433,2.842,227.962,3.845,4.756,574.93,25.529,3565.414,1.609
1.849,1.559,2.197,3.054,341.245,3.977,2.886,1193.595,32.067,17951.092,0.536
4.999,2.845,3.039,1.721,167.579,1.398,2.841,341.181,21.614,1248.699,0.0
1.14,1.513,3.837,2.738,334.423,5.955,4.687,839.155,29.105,4658.854,1.072
1.096,3.791,3.002,2.105,67.221,1.113,4.089,211.601,19.373,2157.122,1.072
5.436,1.751,2.618,3.488,41.602,1.946,4.646,119.966,15.601,591.261,2.145
5.282,2.92,1.413,4.862,151.151,3.772,5.593,849.85,27.723,1674.107,0.0
1.762,3.503,1.416,2.981,39.842,4.69,5.339,82.722,14.248,654.672,0.0
4.055,3.732,2.151,2.457,145.042,2.578,4.97,435.059,22.729,3005.454,2.145
3.933,2.506,1.006,3.761,230.167,1.076,5.82,931.616,29.107,20817.125,0.268
5.099,1.441,3.176,2.388,190.319,1.578,3.869,1079.021,31.464,6060.516,0.536
1.364,3.656,1.661,3.268,172.312,2.615,4.551,238.453,19.529,3910.746,1.072
3.95,1.377,3.873,4.061,267.82,1.074,5.03,599.637,25.231,3944.286,0.536
3.04,1.291,4.838,4.948,48.129,5.667,2.868,177.369,16.952,228.801,2.145
5.535,3.172,3.141,3.633,390.894,5.654,4.478,1250.212,32.438,3874.181,1.609
5.84,1.531,4.928,1.954,36.757,2.928,3.264,153.208,17.351,150.749,0.536
2.901,1.245,1.205,3.257,48.867,5.154,5.247,243.35,19.647,1911.069,1.877
5.406,1.102,1.066,1.108,62.395,4.977,3.473,168.828,17.873,1143.393,3.217
2.054,1.922,4.074,4.673,267.292,5.352,2.922,1043.45,30.632,15332.709,2.413
5.503,1.144,3.25,1.23,88.212,5.101,4.007,223.227,19.475,325.979,1.072
4.82,3.433,1.223,2.001,170.331,4.233,3.481,645.463,26.669,1716.582,0.268
5.81,1.662,1.012,3.997,44.205,5.205,3.263,233.403,20.322,1318.287,1.877
4.341,3.544,4.216,4.037,242.316,2.573,5.398,849.009,28.076,3171.982,0.804
1.328,3.857,3.297,4.927,92.003,1.41,5.143,206.988,18.242,1977.693,0.536
3.014,2.874,2.311,2.968,65.888,2.886,5.865,220.16,18.729,1259.958,1.609
5.577,1.406,2.457,2.507,34.708,5.291,3.14,80.704,13.737,156.179,0.804
1.895,3.331,4.658,1.348,124.7,1.591,3.485,313.917,21.092,972.813,0.536
5.355,3.747,2.333,1.732,211.972,2.376,2.645,889.094,29.425,5122.894,0.0
1.085,3.242,3.746,4.533,235.619,3.728,4.672,1159.698,31.19,7288.699,0.536
1.568,1.841,4.321,1.595,351.158,3.854,2.915,650.128,26.291,3083.326,2.145
2.342,2.414,4.066,4.91,178.309,2.702,4.903,522.479,24.483,2191.532,0.0
2.593,1.82,2.285,3.777,158.986,2.638,4.683,425.913,22.86,3012.903,0.0
2.252,2.225,1.712,2.954,140.269,2.453,3.639,446.757,23.628,4757.029,1.609
1.366,1.991,4.186,4.381,200.299,3.137,5.094,655.638,24.623,3963.023,2.413
2.785,3.959,1.151,1.917,350.125,1.569,2.114,641.436,26.376,6417.213,2.145
2.787,1.655,1.221,2.466,120.268,5.423,2.674,177.349,18.368,1404.613,2.145
5.716,1.312,2.189,3.28,303.29,3.338,3.507,890.943,28.746,2188.828,1.072
4.94,1.315,3.441,4.815,171.327,5.466,4.128,550.052,25.291,4892.803,1.072
2.348,3.367,3.35,2.992,352.716,5.365,2.586,465.55,23.867,3782.098,0.804
5.826,3.282,2.876,2.451,149.114,1.672,2.821,506.504,25.566,1949.748,0.0
5.82,2.235,4.07,1.913,131.908,2.072,3.946,363.883,22.338,704.917,1.072
4.49,3.542,4.923,1.769,343.532,1.258,4.688,1848.609,36.688,5103.122,1.34
4.511,1.185,4.79,1.337,74.191,5.317,2.988,138.492,16.689,249.854,2.145
2.209,3.748,2.707,2.958,290.673,2.325,5.122,2184.815,41.402,37871.035,1.072
1.3,2.116,1.574,4.185,221.952,5.762,4.163,555.113,24.903,4383.299,0.268
3.951,1.227,2.691,1.963,367.93,3.856,2.391,833.184,28.526,4264.246,1.072
4.534,3.107,4.374,4.654,245.058,1.001,5.522,880.242,28.238,5223.084,0.536
1.179,2.104,3.865,1.011,376.663,5.519,2.296,854.105,29.114,3096.273,0.0
1.4,3.334,1.14,2.586,131.948,2.233,5.554,598.538,24.903,4432.153,1.072
1.677,2.124,1.068,1.404,382.53,1.562,4.886,613.446,25.957,12166.777,2.145
3.315,2.042,4.563,3.051,225.179,3.651,4.465,952.727,31.356,11560.303,2.145
2.797,1.261,2.263,4.553,253.228,3.688,4.508,678.051,26.621,7166.343,1.072
4.071,1.463,1.409,2.555,25.432,5.376,4.775,50.055,12.161,466.032,2.145
4.029,3.461,4.449,3.283,143.607,5.39,5.234,1148.28,31.886,1710.588,1.072
4.579,1.211,2.694,2.973,242.304,1.253,3.675,870.126,27.961,5199.324,1.072
1.991,2.101,3.362,3.577,318.523,4.808,2.845,561.673,25.088,2413.716,1.609
3.849,1.13,2.151,1.091,253.679,2.479,3.578,790.167,28.404,13050.347,1.072
1.106,3.513,2.555,4.284,319.943,4.052,4.251,1337.677,33.229,15452.564,0.536
2.016,1.326,1.7,1.973,385.819,5.961,2.254,1645.834,35.698,11001.641,1.609
5.381,3.539,2.415,2.79,302.137,2.513,4.817,1292.545,32.817,5640.92,1.609
3.493,2.401,4.878,4.018,368.482,2.361,4.584,524.5,24.667,2069.362,1.072
4.799,3.963,2.94,4.495,165.152,3.846,2.985,282.057,20.011,636.247,0.0
3.956,2.683,4.452,3.03,45.489,4.104,3.547,309.753,21.858,948.969,0.0
1.306,3.369,2.845,1.513,275.233,1.727,2.918,686.547,27.407,3819.805,0.0
5.773,3.642,4.875,2.239,37.252,2.61,3.669,202.973,18.561,380.529,0.268
4.879,1.568,1.972,4.378,360.677,5.53,4.037,770.366,27.253,2244.413,2.145
5.571,1.377,3.695,1.17,268.72,5.361,3.42,628.239,26.801,2036.804,3.217
2.186,1.434,4.971,1.881,353.751,1.215,2.964,2545.721,40.374,7494.731,0.0
3.524,3.603,1.598,2.843,150.987,3.997,2.26,575.851,25.591,2139.425,0.268
5.775,3.316,2.618,3.77,242.648,5.708,2.943,650.793,25.081,963.231,0.536
3.264,2.267,1.004,4.511,50.384,3.452,5.677,118.862,15.588,1406.62,2.145
1.271,1.558,4.552,2.624,135.466,4.355,2.72,160.468,17.067,360.799,0.0
5.016,3.339,4.658,1.65,338.171,3.303,4.716,943.965,29.708,1840.8,1.877
1.1,1.381,2.984,1.427,212.091,2.394,3.478,705.526,27.182,12609.547,1.34
4.116,3.461,1.614,2.778,67.765,2.902,4.278,229.08,18.758,1110.212,0.536
4.727,2.739,2.385,1.186,163.957,1.029,4.165,724.836,27.761,5409.072,0.804
3.086,1.506,4.736,3.578,278.684,2.686,5.86,485.044,23.744,3047.951,1.072
2.841,1.67,4.946,3.341,97.491,1.791,3.971,616.417,26.979,2499.37,1.072
4.861,1.735,1.553,4.772,124.383,1.322,4.961,470.036,23.526,3937.957,0.0
3.754,2.981,3.168,4.281,187.29,4.186,3.343,1271.546,32.23,4630.28,0.268
1.43,3.925,2.865,1.087,330.503,1.519,2.164,1076.547,31.056,9331.525,1.609
5.5,3.318,3.767,2.66,356.603,3.927,4.391,1334.853,31.853,1679.371,1.609
2.458,2.432,3.767,1.849,380.946,1.518,2.814,1203.351,31.883,4954.088,0.804
4.949,2.179,3.358,3.068,356.233,5.668,2.048,1296.249,33.553,4026.215,0.536
1.433,3.484,1.37,2.302,285.644,4.534,2.112,418.936,22.973,2561.519,0.0
2.959,1.449,2.364,1.789,231.153,5.704,2.586,635.246,26.205,2272.095,2.145
2.291,1.243,4.538,4.249,288.869,3.771,3.56,1182.708,31.087,2066.18,0.536
3.761,2.769,2.971,2.709,249.128,1.044,3.672,508.763,24.246,1487.878,1.072
1.769,1.807,3.356,1.818,372.349,3.708,3.759,415.666,23.485,4967.81,1.072
3.483,2.384,1.422,1.724,195.334,3.461,5.174,495.755,25.172,1956.362,0.0
5.234,2.484,4.498,3.38,137.147,1.336,5.306,689.986,27.618,4563.43,0.0
4.654,2.288,3.482,1.276,386.797,3.264,3.791,1319.763,32.872,2910.684,0.268
3.961,2.141,2.672,3.537,154.993,2.916,3.015,363.661,22.004,2964.429,2.145
5.219,3.141,1.425,2.445,333.135,2.327,5.584,1392.617,32.856,6515.456,0.0
1.02,2.129,2.938,4.212,382.692,4.306,2.589,874.204,28.922,12940.904,0.0
2.198,3.95,2.385,4.923,236.72,3.024,4.72,489.175,23.725,4156.114,1.609
1.961,3.196,2.437,4.979,279.312,2.121,2.237,961.85,29.236,14657.717,1.877
3.201,3.314,4.114,4.139,101.587,1.335,5.722,440.677,23.269,3101.069,0.0
3.602,1.258,3.952,3.086,168.439,1.251,5.624,1120.163,31.223,3962.696,0.536
5.561,3.994,2.545,2.481,230.81,5.179,5.788,1160.361,32.322,3716.977,1.609
3.851,1.1,2.892,3.648,110.475,3.369,3.113,349.395,21.502,3252.284,0.268
4.086,2.959,1.216,2.94,250.244,2.635,5.177,606.521,25.573,4356.105,0.536
1.174,3.205,4.964,1.127,337.84,5.329,5.715,2604.2,40.32,4009.174,0.268
1.811,3.195,1.633,4.628,278.147,5.077,2.013,637.07,26.575,7274.228,1.609
4.198,2.125,3.016,1.956,301.926,4.203,4.717,968.379,29.711,3411.873,1.609
2.175,2.617,3.872,1.954,374.101,1.394,2.472,981.76,30.482,3260.99,0.0
1.032,3.177,4.925,3.944,246.785,3.282,5.367,881.003,29.668,8001.45,0.536
2.808,3.269,3.593,4.144,51.202,2.625,4.957,172.958,18.243,901.003,0.0
3.5,3.021,3.233,2.197,105.277,1.281,5.304,200.525,18.252,408.699,0.0
5.111,3.52,3.564,2.491,36.968,5.493,4.571,109.259,14.853,26.168,0.0
4.225,2.037,1.679,3.265,31.789,4.355,5.796,118.48,15.606,671.093,0.0
3.854,1.251,4.188,4.442,202.647,3.052,4.297,792.252,27.93,5708.213,2.413
5.097,1.072,1.072,2.98,143.061,3.242,3.176,464.48,23.827,1844.561,1.072
3.201,1.556,4.268,1.943,327.933,4.391,3.665,599.185,25.721,1501.798,2.145
5.331,1.917,4.8,3.419,317.543,2.452,3.711,2276.833,40.292,12172.23,0.804
3.709,1.141,3.819,2.203,165.519,5.667,5.162,384.631,22.88,295.842,0.536
4.53,3.504,4.766,3.062,129.419,5.925,4.455,630.96,26.567,1137.562,2.413
2.305,2.825,3.174,1.044,319.567,4.123,2.635,1142.904,32.259,8068.285,2.413
1.695,3.774,1.686,1.623,262.537,5.332,4.464,754.641,28.898,2998.243,1.072
2.766,3.644,1.726,2.981,54.515,2.392,2.865,87.229,14.516,959.816,1.072
5.861,3.622,3.128,4.586,126.976,2.066,2.211,363.07,21.758,1152.347,0.268
5.377,3.123,1.521,1.976,333.476,3.592,3.364,872.483,29.224,3790.096,0.0
1.814,1.612,3.568,3.269,301.126,5.997,5.733,979.536,30.185,2532.392,0.536
3.905,1.165,3.498,3.952,123.128,1.092,2.12,396.05,21.954,1595.112,2.145
2.432,3.409,4.258,4.827,213.687,2.403,4.26,1279.854,32.555,6034.537,0.0
1.345,1.579,1.753,3.398,156.202,4.165,3.999,568.831,25.81,6108.344,0.0
4.404,3.917,2.486,2.263,80.121,5.249,2.988,353.349,22.701,2035.875,0.0
2.956,1.557,4.535,4.124,271.751,1.638,3.579,2527.285,40.367,10293.024,2.145
1.295,1.334,2.758,2.095,198.22,5.409,3.065,614.328,26.787,6718.655,1.072
5.427,1.703,2.295,2.513,303.398,1.674,5.516,620.32,26.237,6102.642,3.217
1.18,2.36,2.558,2.231,170.148,4.455,2.159,334.445,21.168,4422.142,1.34
2.618,2.737,4.829,3.824,374.812,5.679,5.197,1236.384,31.195,3515.501,0.536
5.887,3.458,3.407,1.568,202.504,1.42,3.614,408.157,23.346,1479.274,1.072
3.47,2.09,4.019,1.856,236.604,2.282,2.991,618.857,26.23,1826.372,0.0
4.044,2.811,4.389,4.792,391.751,3.181,5.201,2142.173,35.391,3959.189,0.268
2.511,2.186,2.397,2.996,297.148,5.202,3.953,1323.332,33.02,12255.945,2.145
3.644,2.328,2.867,3.812,168.056,4.525,5.449,469.031,24.065,1743.843,0.0
3.701,3.4,4.257,2.019,55.251,4.427,5.24,469.78,24.705,3186.436,1.072
3.422,1.173,2.395,2.978,86.703,3.094,4.173,283.78,21.492,2466.127,1.609
4.956,1.89,1.514,3.833,125.223,2.458,3.568,644.131,26.437,4676.631,0.536
2.044,2.639,2.938,3.889,130.265,1.892,3.416,159.367,16.889,1078.704,0.0
2.586,3.562,1.726,1.274,140.692,5.082,3.252,448.082,24.753,2639.236,0.0
2.762,1.073,1.072,4.268,245.833,5.152,2.579,642.919,26.297,5938.426,1.072
3.088,1.92,3.985,4.398,69.701,4.401,5.764,566.011,25.04,1590.087,1.34
4.353,3.982,4.284,1.165,254.308,2.664,5.428,983.739,29.925,2294.134,1.609
5.823,1.889,4.371,4.246,317.75,5.67,2.084,459.747,23.588,868.787,1.072
3.437,3.259,1.378,1.549,219.375,2.971,4.265,455.451,23.384,2655.918,2.145
4.168,2.267,3.442,3.363,367.02,1.587,4.545,1916.565,36.937,12380.856,0.536
2.315,3.406,1.172,3.569,166.508,1.431,4.746,549.628,25.124,13036.8,1.072
2.013,2.042,4.328,4.888,149.729,1.028,2.175,490.949,23.195,1892.042,0.268
4.059,3.255,3.402,3.093,289.598,5.426,3.64,1274.494,34.304,15616.4,2.145
5.978,3.059,3.748,3.548,194.773,2.326,5.421,334.664,22.19,1718.671,1.609
1.433,1.669,2.546,3.539,207.286,1.015,2.715,856.974,28.325,28898.796,2.145
4.776,3.094,1.447,4.701,306.61,1.406,5.191,1106.425,29.992,7409.397,0.268
4.761,1.788,2.904,4.017,203.243,2.381,5.338,1235.904,31.963,4478.285,1.609
5.167,2.022,2.562,1.921,144.61,2.981,2.007,419.44,22.69,806.75,0.0
1.823,1.841,3.305,2.739,69.127,5.1,3.969,102.062,14.872,312.868,1.072
2.463,3.706,3.006,3.536,368.498,3.32,3.92,1949.885,37.204,21378.429,2.145
4.682,1.636,4.052,3.642,319.304,3.627,3.632,676.932,25.95,1505.251,0.0
3.342,2.25,4.459,3.757,27.144,3.176,3.292,88.223,14.066,451.841,1.072
4.011,2.515,2.765,1.907,61.018,5.022,2.101,214.831,19.211,1765.788,2.145
2.608,2.999,2.9,2.49,346.815,1.452,2.518,1258.215,32.692,13432.637,0.536
3.71,1.724,2.686,2.62,277.879,1.528,5.337,757.202,29.19,9266.415,1.34
5.434,2.103,3.724,1.972,186.215,3.191,5.846,848.949,28.687,1400.521,0.0
5.395,2.763,2.918,2.34,140.869,4.609,4.284,1172.096,32.296,1798.149,0.268
1.98,1.694,1.682,3.397,385.659,1.966,4.926,1163.585,31.746,25346.354,1.072
4.192,1.895,3.091,2.527,100.291,5.443,2.658,192.489,18.396,2139.706,2.413
2.211,3.79,4.673,3.839,61.326,2.856,3.675,259.401,20.344,1977.138,2.145
5.635,2.149,2.84,2.187,365.241,1.678,5.31,1785.6,36.081,2688.319,0.0
1.504,2.182,3.683,1.273,215.914,1.605,4.129,1267.868,34.044,9325.711,1.072
2.786,1.768,1.384,3.955,289.052,3.507,3.676,417.945,23.049,7879.028,3.217
3.491,2.753,3.17,3.173,295.636,1.176,5.984,1806.713,35.95,9350.712,0.0
1.523,2.896,4.97,3.798,135.843,1.256,2.464,463.814,23.998,2572.0,0.0
1.51,3.851,4.123,2.508,66.964,2.484,2.426,322.066,21.875,2116.156,0.804
4.066,3.637,3.324,3.181,298.699,4.004,2.125,1008.634,30.324,5872.04,1.609
1.924,1.238,2.699,3.168,314.945,4.588,3.485,744.917,27.265,2258.433,0.536
3.711,2.865,4.321,1.21,154.894,4.794,3.967,755.549,28.871,6073.126,1.609
5.103,1.986,3.376,4.503,356.851,1.839,2.923,1035.425,29.117,2904.59,1.072
3.489,1.644,1.77,4.167,294.74,3.537,4.469,913.197,29.909,8173.808,0.0
2.673,2.996,4.116,2.561,78.726,2.826,4.943,354.159,22.473,1460.833,0.268
5.442,3.774,4.403,3.114,135.506,4.194,2.556,594.452,25.026,975.305,1.072
5.733,3.593,4.677,4.132,369.813,3.878,5.573,2717.888,38.835,2108.429,0.268
4.482,1.998,4.215,2.81,242.846,2.468,2.114,920.361,29.17,1893.914,0.0
3.358,2.383,2.346,4.634,331.62,4.28,2.488,1134.148,31.382,9823.822,0.0
1.27,3.926,4.167,3.682,329.675,2.744,2.346,433.324,23.632,8729.018,2.145
3.551,2.924,3.202,1.548,270.828,3.518,4.04,664.413,26.607,3429.654,1.072
3.77,3.43,3.911,3.185,53.53,2.611,5.032,478.28,23.867,2823.488,1.072
1.932,3.559,4.426,1.944,150.705,3.061,3.063,337.468,22.726,2893.234,1.609
2.336,1.598,4.324,4.674,388.957,1.697,4.301,660.995,25.993,3252.509,2.145
3.0,1.627,2.059,3.764,20.526,3.019,2.544,53.178,12.158,334.314,2.145
2.559,1.791,4.128,4.255,325.407,2.303,4.158,1441.301,34.012,9964.159,0.268
2.413,2.044,3.417,4.633,269.66,4.936,4.954,1671.567,35.27,15878.184,1.34
5.195,2.937,2.226,4.26,49.301,4.503,4.056,157.906,16.809,221.016,0.0
1.281,1.139,4.954,3.253,260.335,3.082,5.731,850.01,28.639,8914.239,1.072
1.579,2.619,2.56,1.326,54.6,1.435,4.366,283.269,21.08,2190.005,0.268
4.865,3.114,3.844,3.335,111.695,2.923,2.375,649.205,26.657,2868.908,1.072
4.371,3.562,1.958,4.049,307.926,1.509,5.801,633.324,25.625,7635.423,1.609
3.063,2.596,3.868,3.96,95.48,1.69,4.136,258.386,19.966,1095.829,1.072
2.427,2.479,1.157,3.288,76.905,1.137,3.275,96.121,14.573,1669.611,2.681
3.55,2.12,3.193,1.768,295.091,4.75,2.745,535.579,24.957,1644.201,1.072
5.242,3.149,2.077,2.096,73.023,1.973,2.884,269.017,20.163,1346.079,0.0
5.918,2.258,4.753,2.832,342.458,1.268,3.087,1120.033,31.812,3572.403,0.536
3.795,3.021,1.875,3.552,341.215,2.671,3.665,492.078,24.218,3174.352,0.0
4.216,1.164,2.746,4.703,268.444,4.36,3.485,451.111,23.804,1995.448,2.145
4.665,2.949,2.368,1.978,201.64,1.126,3.005,984.209,29.891,4677.517,0.804
4.836,3.791,1.674,4.979,201.428,4.436,3.744,1301.987,32.389,7006.43,0.0
4.587,3.27,2.706,2.426,13.524,1.482,4.524,105.62,15.234,608.268,1.34
4.636,1.002,2.929,3.182,207.808,2.585,3.436,483.375,24.232,1906.845,0.536
1.765,3.549,2.343,4.237,147.676,5.248,4.08,426.763,23.306,3512.028,0.0
2.263,2.158,4.115,2.433,141.607,1.554,5.418,314.0,20.85,2634.678,1.609
3.612,2.895,4.704,2.196,144.685,1.831,3.58,446.937,23.772,1252.508,0.536
